tick,time_s,profile,status,solver_status,hard,wbc_time_s,contact_left,contact_right,planner_xi,planner_dxi,planner_ddxi,xi_common,dxi_common,xi_differential,dxi_differential,common_error,differential_error,max_normalized_slack,max_wrench_residual,max_torque,tau0,tau1,tau2,tau3,tau4,tau5
0,0.01,step,0,0,8.0973083793622891e-10,0.00084181200000000005,1,1,-0.011157172669780779,0,0,-0.011157172669780779,0,-0.0015835231741306577,0,0,0,8.8130268355149471e-07,4.4064968735622824e-05,3.239377422853265,-0.043318239381357912,-3.1437734981156691,2.0013469629107204e-07,0.040224951165823877,-3.239377422853265,2.1155571215053248e-07
1,0.020000000000000004,step,0,0,9.6839500990635735e-11,0.000434432,1,1,-0.011157172669780779,0,0,-0.01115706936824664,1.8493855180852776e-05,-0.0015835442032597321,-3.2660469091944588e-06,-1.0330153413923293e-07,2.1029129074374986e-08,1.0121818374795099e-06,5.0609106062983133e-05,3.2393853621173556,-0.043339152526935876,-3.1437782245976473,2.0128733661110158e-07,0.040224871954741143,-3.2393853621173556,2.1269078077645173e-07
2,0.030000000000000013,step,0,0,1.9177428032092839e-10,0.00041073900000000003,1,1,-0.011157172669780779,0,0,-0.011156753923048678,4.1829862810511712e-05,-0.0015835829590867805,-4.0237609099345838e-06,-4.1874673210179347e-07,5.9784956122840849e-08,1.3316063687753239e-06,6.6580350374537383e-05,3.2394117827507865,-0.043355521765561469,-3.1437697134450096,2.0222831173010057e-07,0.040212255196509755,-3.2394117827507865,2.1364186043896558e-07
3,0.040000000000000022,step,0,0,1.3925194330965951e-11,0.00041336500000000001,1,1,-0.011157172669780779,0,0,-0.011156177448151361,7.0094676562207933e-05,-0.001583616486249639,-2.5917458595401009e-06,-9.9522162941810544e-07,9.3312118981322967e-08,1.8277962437909536e-06,9.1389815314911412e-05,3.2394551974688284,-0.043367792802027544,-3.1437499276182024,2.0254276159043538e-07,0.040186791535682102,-3.2394551974688284,2.139652570199768e-07
4,0.050000000000000031,step,0,0,1.7007062425022923e-11,0.00042338400000000001,1,1,-0.011157172669780779,0,0,-0.0111552907907652,0.00010328938046709593,-0.001583624051514753,8.3716968918192813e-07,-1.8818790155795267e-06,1.0087738409533809e-07,2.4305439660800568e-06,0.00012152720220608703,3.2395159860812028,-0.043376023135218975,-3.1437207601734647,2.0402847169843597e-07,0.040147896938115865,-3.2395159860812028,2.1546945236209738e-07
5,0.060000000000000039,step,0,0,2.0313195570054177e-11,0.00040841599999999999,1,1,-0.011157172669780779,0,0,-0.011154044592805966,0.00014146112012962061,-0.0015835869647308357,6.0481418523057742e-06,-3.1280769748134873e-06,6.3790600178005585e-08,3.1490860462054665e-06,0.00015745430700144151,3.2395935508469216,-0.043380427992071841,-3.1436830174703805,2.0614714402953786e-07,0.040095061347124185,-3.2395935508469216,2.1761541620209479e-07
6,0.070000000000000048,step,0,0,2.3862578579780802e-11,0.00040608700000000002,1,1,-0.011157172669780779,0,0,-0.01115238832207615,0.00018478862748017933,-0.0015834887348530535,1.2821604656410273e-05,-4.78434770462971e-06,-3.4439277604193796e-08,4.1477109449771355e-06,0.00020738554673684946,3.2396876803400403,-0.043381418987380141,-3.1436378805109308,2.0894512560328373e-07,0.040027824872228474,-3.2396876803400403,2.204493272588252e-07
7,0.080000000000000057,step,0,0,2.7750801656623025e-11,0.00041488000000000001,1,1,-0.011157172669780779,0,0,-0.01115026853264401,0.00023365443658537351,-0.001583314893429698,2.0970631429514792e-05,-6.9041371367692395e-06,-2.0828070095967738e-07,5.3309215832558312e-06,0.00026654607856793752,3.2397982650849695,-0.04337952415155677,-3.1435866044954204,2.1245819531741832e-07,0.03994558878620881,-3.2397982650849695,2.2400684938832804e-07
8,0.090000000000000066,step,0,0,3.2103542046968414e-11,0.00040804399999999998,1,1,-0.011157172669780779,0,0,-0.011147626498841089,0.0002887016337118067,-0.0015830525164887699,3.0365289248141441e-05,-9.5461709396903877e-06,-4.7065764188780612e-07,6.6089288927870983e-06,0.00033044644396786125,3.2399253898732621,-0.043375332249144902,-3.1435304939762636,2.1671476550031953e-07,0.039847467878713939,-3.2399253898732621,2.2831642374848179e-07
9,0.10000000000000007,step,0,0,3.707667506347434e-11,0.000405559,1,1,-0.011157172669780779,0,0,-0.011144395333431161,0.00035088255037644966,-0.001582689582259442,4.0944091600149699e-05,-1.277733634961857e-05,-8.3359187121566369e-07,7.9628970445447611e-06,0.00039814485148380552,3.2400694290255636,-0.043369467360512351,-3.1434708782343717,2.2174009467375184e-07,0.039732174671727981,-3.2400694290255636,2.3340354657557687e-07
