scenario,episode,control_tick,physics_substep,time_s,disturbance,force_x,force_y,force_z,moment_x,moment_y,moment_z,left_normal_load_n,right_normal_load_n,penetration_m,rolling_slip_m_s,lateral_slip_m_s,closure_residual_m,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qpos8,qpos9,qpos10,qpos11,qpos12,qpos13,qpos14,qpos15,qpos16,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qvel8,qvel9,qvel10,qvel11,qvel12,qvel13,qvel14,qvel15,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5
hold,0,0,0,0.002,0,0,0,0,0,0,0,31.537808215918218,31.578524701907398,0.00039838683718524531,6.8388257628667907e-05,0,0.0001825909525860475,-5.5968190239284984e-10,-6.4191239936834851e-07,0.34771766414654615,0.99999999999933575,1.114310398124224e-06,-1.0562711109003339e-09,2.9463327931173684e-07,-0.34332670970128276,0.56939554201584353,1.254415175739296e-06,-0.57254124685413144,-0.5729837117404718,-0.35472419116574821,0.569408408329791,-2.7355303051467159e-06,0.57260197445419458,-0.57303862508287451,-2.7984095119642493e-07,-0.00032095619968417426,5.7025742506560855e-08,0.0011143103981244705,-1.0562711109005677e-06,0.00029463327931180208,0.0013820202674471782,-0.0018425815586326849,0.00062720758786964799,0.0019213947097867017,0.0019181620579581612,-0.0013488068471230092,0.0019496666954311101,-0.001367765152573358,0.0020217486204495818,-0.00201955078730621,0.032776230934057057,3.2137042167078982,-0.0014608344124948083,-0.029682713985793169,3.1688859560448672,-0.00022009072514294969
hold,0,0,1,0.0040000000000000001,0,0,0,0,0,0,0,31.541656543191714,31.574598208571182,0.00039838044781886905,9.5365373117566987e-05,1.5322980942358903e-05,0.00018259680388937733,-1.7452090459911528e-09,-1.9202604316314739e-06,0.34771766435854379,0.99999999999415534,3.3065954716657188e-06,-3.2532485045199196e-09,8.6929705106876794e-07,-0.34332134465576614,0.56938837070992709,3.7969936205076188e-06,-0.57253379554443828,-0.57297627014198471,-0.35472946162538616,0.56941599633713447,-7.9118114215372451e-06,0.57260982151723794,-0.57304646517052027,-5.927635717991514e-07,-0.00063917401613156261,1.0599882190396507e-07,0.0021922850735073855,-2.1969829599495887e-06,0.0005746637718911351,0.0026825227583019027,-0.003585652958191278,0.0012712892223841615,0.0037256548465708873,0.0037207992435348584,-0.0026352298189768354,0.0037940036717376783,-0.0025881405581952644,0.0039235315216580224,-0.0039200438228662871,0.032776230934057057,3.2137042167078982,-0.0014608344124948083,-0.029682713985793169,3.1688859560448672,-0.00022009072514294969
hold,0,0,2,0.0060000000000000001,0,0,0,0,0,0,0,31.54493908214835,31.571217586297934,0.0003983795582243807,0.00011983612716954547,3.7425854659351864e-05,0.00018260735988237143,-3.6226341549182393e-09,-3.8292452260675255e-06,0.34771766465160814,0.99999999997711753,6.5452168657428641e-06,-6.6759465891202043e-09,1.7103309963228552e-06,-0.34331352290766287,0.56937788323823146,7.6798716922290684e-06,-0.57252293483418926,-0.57296541998174455,-0.35473720018796173,0.5694270918703348,-1.5250041207342576e-05,0.57262126683298731,-0.57305790217631092,-9.3871255446354325e-07,-0.00095449239721802576,1.4653217224025549e-07,0.0032386213938813491,-3.422732449634601e-06,0.00084103394604699002,0.0039108740516426519,-0.0052437358477946915,0.0019414390358607249,0.0054303551244965446,0.005425080120053237,-0.0038692812878014164,0.0055477666001775465,-0.0036691148929026661,0.0057226578746732218,-0.0057185028953088456,0.032776230934057057,3.2137042167078982,-0.0014608344124948083,-0.029682713985793169,3.1688859560448672,-0.00022009072514294969
hold,0,0,3,0.0080000000000000002,0,0,0,0,0,0,0,31.547740326305764,31.568301215008361,0.00039839407466217558,0.00014209403260075274,6.4833716840183167e-05,0.00018262165225934078,-6.2587392652138173e-09,-6.3627526613262792e-06,0.3477176650083556,0.99999999993772237,1.0802225614123542e-05,-1.1410976371998649e-08,2.804891266857193e-06,-0.34330337336298455,0.56936422553916033,1.2971441348800946e-05,-0.57250883475505743,-0.57295132952157835,-0.35474731874178811,0.56944153817723431,-2.4484299692300366e-05,0.57263613368152833,-0.57307276019238595,-1.3180525551477887e-06,-0.0012667537176293769,1.7837374595435309e-07,0.0042570087477635798,-4.7351465427190414e-06,0.0010945602731524283,0.0050747723391490829,-0.0068288495355909914,0.0026457848282859381,0.0070500395659226743,0.0070452300831136613,-0.0050592769131906955,0.007223153449725875,-0.0046171292424788948,0.0074334242705318791,-0.00742900803752618,0.032776230934057057,3.2137042167078982,-0.0014608344124948083,-0.029682713985793169,3.1688859560448672,-0.00022009072514294969
hold,0,0,4,0.01,0,0,0,0,0,0,0,31.550133294826502,31.565778240832611,0.00039843216702383638,0.00016237536854689065,9.6363988928508011e-05,0.00018263886234680377,-9.7219414339375236e-09,-9.5143614796136106e-06,0.34771766541116039,0.99999999986258437,1.6052560232694486e-05,-1.7547685559747127e-08,4.1408494230402998e-06,-0.34329101229659587,0.56934752366811703,1.9754572384541403e-05,-0.572491641272032,-0.57293414345250004,-0.35475974300508467,0.56945919865851724,-3.5358958850570133e-05,0.57265426895457794,-0.57309088659858654,-1.7316010843618527e-06,-0.0015758044091436657,2.0140238477772806e-07,0.0052503346171130887,-6.1370044845593039e-06,0.0013359581626958676,0.0061805331943521283,-0.0083509355216316635,0.0033915655178702298,0.0085967415127276483,0.0085930345391443362,-0.0062121316482874342,0.0088302406414806339,-0.0054373295791348844,0.00906763652478167,-0.0090632031003168995,0.032776230934057057,3.2137042167078982,-0.0014608344124948083,-0.029682713985793169,3.1688859560448672,-0.00022009072514294969
hold,0,1,0,0.012,0,0,0,0,0,0,0,31.547517058278221,31.567272681034758,0.00039850049024611756,0.00018597619813230513,0.00013106791463129855,0.00018265829764059122,-1.4337402698435438e-08,-1.3276330713175909e-05,0.34771766497597922,0.99999999973600584,2.2264571949191857e-05,-2.4960140197396034e-08,5.6812877955276541e-06,-0.3432766463600227,0.56932790136545386,2.8500551329425088e-05,-0.57247149312488599,-0.57291399842782997,-0.35477432322186281,0.56947992139516268,-4.7830780468883614e-05,0.57267550874269191,-0.5731121184222121,-2.3077306322489571e-06,-0.0018809846167811494,-2.1759059723113401e-07,0.0062120117140553347,-7.4134496642751635e-06,0.00154043838279278,0.0071829682865837807,-0.0098111513315881152,0.0043729894724418416,0.010074073573031221,0.01007251233501907,-0.0072901083890784691,0.0103613683227139,-0.0062359108091567398,0.010619894057004925,-0.010615911812780029,0.033464740191851375,3.2133796721929846,-0.0014729257020335809,-0.030374474876540911,3.16910188278209,-0.00012575186250105149
hold,0,1,1,0.014,0,0,0,0,0,0,0,31.549238281159838,31.565391450555005,0.0003986038708132314,0.00020404417224928099,0.00016801470657252875,0.00018267950991613437,-2.0179311718289883e-08,-1.7641576880949195e-05,0.34771766368587825,0.99999999953980456,2.941751706420478e-05,-3.3746774614740387e-08,7.4161939607027455e-06,-0.34326037014321609,0.56930545335852478,3.931073676480753e-05,-0.57244849905349093,-0.57289100284925765,-0.35479100873451835,0.56950360180378279,-6.1658091119804923e-05,0.5726997366294615,-0.57313633917981632,-2.9209545099272221e-06,-0.0021826230838866423,-6.4505047506405866e-07,0.0071529451109416074,-8.7886454166456598e-06,0.0017349061829395674,0.0081381084032994475,-0.011224003464558303,0.0054050927176912192,0.011497035697509313,0.011497789286161315,-0.0083427563277736275,0.011840204310029356,-0.006913655325460657,0.012113943384787971,-0.012110378802090076,0.033464740191851375,3.2133796721929846,-0.0014729257020335809,-0.030374474876540911,3.16910188278209,-0.00012575186250105149
hold,0,1,2,0.016,0,0,0,0,0,0,0,31.550720735974217,31.563738284463696,0.0003987464446616254,0.00022058865622078298,0.00020670926282088551,0.00018270196655915084,-2.7327119140822886e-08,-2.2602749050528446e-05,0.34771766152439099,0.99999999925359517,3.7491957284963529e-05,-4.4013620785960956e-08,9.3360193801573436e-06,-0.3432422716743444,0.56928026340688087,5.229798675457504e-05,-0.57242275434575352,-0.57286525183727099,-0.35480975662916042,0.56953014633361987,-7.6604221922386785e-05,0.57272684929566309,-0.57316344539446229,-3.5739037112665005e-06,-0.0024805860847896253,-1.0807436449636639e-06,0.0080744402142021859,-1.0270251294036507e-05,0.0019198254502545357,0.0090492344358448912,-0.012594975821959823,0.0064936249948837552,0.01287235386868631,0.012875505993326885,-0.0093739473210425923,0.013272264918559965,-0.0074730654012909294,0.01355633310078175,-0.013553107322968676,0.033464740191851375,3.2133796721929846,-0.0014729257020335809,-0.030374474876540911,3.16910188278209,-0.00012575186250105149
hold,0,1,3,0.018000000000000002,0,0,0,0,0,0,0,31.552004146240492,31.56227385572894,0.0003989313752394627,0.00023570224971576121,0.00024667124030645872,0.00018272521935237899,-3.5866633416815171e-08,-2.8152239150774451e-05,0.34771765847577418,0.99999999885495261,4.6469450452455804e-05,-5.5875792793610622e-08,1.1431638009467993e-05,-0.34322243371199312,0.56925240625838669,6.7585757698169273e-05,-0.57239434320349847,-0.57283682954765192,-0.35483053045667912,0.56955947047996702,-9.2436187787330588e-05,0.5727567541903974,-0.57319334430211588,-4.269757137996143e-06,-0.0027747450501230024,-1.5243083921694245e-06,0.0089774931573547816,-1.186741722257073e-05,0.0020956186811019535,0.0099189811756348802,-0.013928574247090644,0.0076438854717971157,0.014205571127550883,0.014211144809522892,-0.010386913759354022,0.014662073173571656,-0.0079159829324718985,0.014952447367168683,-0.014949453826806174,0.033464740191851375,3.2133796721929846,-0.0014729257020335809,-0.030374474876540911,3.16910188278209,-0.00012575186250105149
hold,0,1,4,0.020000000000000004,0,0,0,0,0,0,0,31.553122669904926,31.560964211759433,0.00039916099037349412,0.0002583804329155869,0.00028751383945982141,0.00018274889227648205,-4.5891158779119223e-08,-3.4282192579913369e-05,0.34771765452526593,0.99999999831956632,5.6332306417943978e-05,-6.9459041575956679e-08,1.3694312026549729e-05,-0.34320093482204345,0.56922194927904057,8.5307358096273149e-05,-0.57236334071261707,-0.57280581110329387,-0.35485329917498953,0.56959149712995327,-0.00010892355314913788,0.57278936759455756,-0.57322595194141723,-5.0122626811520271e-06,-0.0030649767145694597,-1.9752541159860019e-06,0.0098628559503920726,-1.3590852177949795e-05,0.0022626741007610324,0.010749444974834411,-0.015228489673069553,0.0088608001990519384,0.015501245440681932,0.015509222179023601,-0.011384359155219735,0.016013324993137644,-0.0082436826809036481,0.016306702080095013,-0.016303819650678893,0.033464740191851375,3.2133796721929846,-0.0014729257020335809,-0.030374474876540911,3.16910188278209,-0.00012575186250105149
hold,0,2,0,0.022000000000000006,0,0,0,0,0,0,0,31.549937650840093,31.563546274798348,0.00039943690281622063,0.00028639068334708733,0.00032892518121908237,0.00018277267120614518,-5.6528558156306286e-08,-4.0981971644624425e-05,0.34771764884543505,0.99999999762223801,6.7054675376669072e-05,-8.5099891596802133e-08,1.6099311193542363e-05,-0.34317788821917994,0.56918897424270609,0.0001056397433139209,-0.57232983308521068,-0.5727722826928352,-0.35487790921883411,0.56962612761061382,-0.0001263920243043262,0.57282458182555085,-0.57326116233992408,-5.3186996885935297e-06,-0.0033498895323555286,-2.8399154324158277e-06,0.010722368933063019,-1.5652206359487446e-05,0.0024049993088687111,0.011523301431740308,-0.016487518167256496,0.010166192608823869,0.016753813703193812,0.016764205229347746,-0.012305021922280985,0.017315240330256769,-0.0087342355775941617,0.017607115496662242,-0.017605199253413282,0.033918546228814482,3.2128601181994041,-0.0016928535709439625,-0.030819457448296939,3.1693929519163229,-0.00016006256181880322
hold,0,2,1,0.024000000000000007,0,0,0,0,0,0,0,31.550776934292827,31.562489296848153,0.0003997600496278772,0.00031462258414845592,0.00037050428406232034,0.00018279630630944023,-6.7888719330947809e-08,-4.824318520780419e-05,0.3477176414241735,0.99999999673572981,7.8620053046504285e-05,-1.0294771266774267e-07,1.8639140070806407e-05,-0.34315336491450033,0.56915353642958821,0.00012873366042698297,-0.57229388114456103,-0.57273630529319797,-0.35490434021935513,0.56966329692359119,-0.00014460562981190558,0.5728623281426285,-0.57329890608071576,-5.6800805873207646e-06,-0.0036306067815898811,-3.710630777770278e-06,0.011565377630851819,-1.7863708317662124e-05,0.0025398290981239174,0.012261652339795474,-0.017718906558930665,0.011546958556531046,0.017975970324842567,0.01798869981858929,-0.01321550026051971,0.018584656488683786,-0.0091068027537896893,0.018873158538800363,-0.018871870395851711,0.033918546228814482,3.2128601181994041,-0.0016928535709439625,-0.030819457448296939,3.1693929519163229,-0.00016006256181880322
